url,title,duration_seconds,duration_minutes,view_count,description,transcript_downloaded,summary_done
https://www.youtube.com/watch?v=hTkKXDvSJvo,"The Narcissism Doctor: ""1 In 6 People Are Narcissists!"" How To Spot Them & Can They Change?",6149,102.48,2461209,"Dr Ramani Durvasula is a clinical psychologist, Professor of Psychology at California State University, and the Founder and CEO of LUNA Education, Training & Consulting. She is also the author...",,
https://www.youtube.com/watch?v=hQ78Hpwrt80,The Muscle Growth Doctor: Exercise At Night Is A Terrible Idea! Grip Strength = Disease! Andy Galpin,8918,148.63,3182243,"Dr Andy Galpin, PhD, is Professor of Kinesiology (the study of movement) at California State University, Fullerton. He is the Co-Director of the Center for Sport Performance and Founder/Director...",,
https://www.youtube.com/watch?v=u0o3IlsEQbI,The Money Making Expert: The Exact Formula For Turning $100 into $100k Per Month! - Daniel Priestley,6968,116.13,4005465,Daniel Priestley is an award-winning serial entrepreneur who has built and sold several successful businesses and written 5 books on starting and scaling businesses.   00:00 Intro 02:50 The...,,
https://www.youtube.com/watch?v=E5swtIjpxxA,The Orgasm Expert: THIS Is How Often You Should Be Having Sex & Stop Inviting Pets Into The Bedroom!,5767,96.12,3486582,"Dr Karen Gurney is a Clinical Psychologist, Psychosexologist and Couples Therapist, she has been helping couples tackle sex problems for over 20 years. She is the author of the bestselling...",,
https://www.youtube.com/watch?v=AVSn8EYQ43I,"Hinge CEO: The Truth About Dating Apps, Attraction And Finding Love In 2024!",5209,86.82,250596,"Justin McLeod is the CEO and founder of the dating app Hinge, which has over 20 million users and sets up a date every 3 seconds.  00:00 Intro 02:16 My Addiction & Going to Rehab 05:27 12 Step...",,
https://www.youtube.com/watch?v=uPXjt6beYbg,Adam Grant: 10 CRAZY Stats About Why Only 2% of the People Becomes Successful!,6416,106.93,699167,"If you enjoy hearing about how to rethink work and productivity, I recommend you check out my conversation with Nir Eyal, which you can find here: https://www.youtube.com/watch?v=rDdoUbCFn24...",,
https://www.youtube.com/watch?v=WLWbFVKFffM,The Brain Doctor: 5 Popular Habits That Will Kill Your Brain Health!,4667,77.78,1250968,"If you enjoy hearing about the link between human evolution and exercise, I recommend you check out my first conversation with Dr Daniel E. Lieberman, which you can find here: https://www.youtube.c...",,
https://www.youtube.com/watch?v=i2sHBL8BjWI,"Paul Brunson: ""The 70/30 Body Shape Is Scientifically The Most Sexy"" & THIS Predicts Divorce!",7867,131.12,2600664,"If you enjoyed this episode, I recommend you check out my first conversation with Paul Brunson, which you can find here: https://www.youtube.com/watch?v=H4EYLof2_HU  00:00 Intro 02:14 What...",,
https://www.youtube.com/watch?v=A-8tPmQtYqs,"Harvard Professor: They’re Lying To You About Running, Breathing & Sitting! - Daniel Lieberman",5613,93.55,1891736,"If you enjoyed this episode, I recommend you check out my first conversation with Dr. Daniel Lieberman, which you can find here: https://www.youtube.com/watch?v=ujRwf1HdNjk  00:00 Intro 02:15...",,
https://www.youtube.com/watch?v=3GVInaBCn_c,Leading Harvard Doctor: The Shocking Link Between Your Diet ADHD & Autism!,6397,106.62,1663042,"If enjoyed this episode with Chris Palmer , I recommend you check out my conversation with Dr. Aditi Nerurkar, which you can find here: https://www.youtube.com/watch?v=FN0_ow76hU8  00:00 Intro...",,
https://www.youtube.com/watch?v=8RuWp3s6Uxk,Exercise Doesn't Make You Lose Weight! Doctor Jason Fung,5080,84.67,4400358,"If you enjoyed this episode with Dr. Jason Fung, I recommend you check out my conversation with the Glucose Goddess, Jessie Inchauspé, which you can find here: https://www.youtube.com/watch?v=DnEJ...",,
https://www.youtube.com/watch?v=qRY-foz-ZAw,The Happiness Expert: Single Friends Will Keep You Single & Obesity Is Contagious!,5345,89.08,2775690,"If you want to hear more about the key to happiness, I recommend you check out my conversation with Dr Robert Waldinger, which you can find here: https://www.youtube.com/watch?v=Itg00I2q8lk...",,
https://www.youtube.com/watch?v=FN0_ow76hU8,The Mental Health Doctor: Your Phone Screen & Sitting Is Destroying Your Brain!,7077,117.95,3670045,"If you enjoyed this episode with Dr. Aditi Nerurkar, I recommend you check out my conversation with Mel Robbins which you can find here: https://www.youtube.com/watch?v=iEo48f_Rs4w   00:00...",,
https://www.youtube.com/watch?v=UzOJiqN_DpM,Yuval Noah Harari: An Urgent Warning They Hope You Ignore. More War Is Coming!,6370,106.17,2339389,"If you enjoy hearing about the potential impact of AI on humanity, I recommend you check out my conversation with ex-Google office, Mo Gawdat which you can find here: https://www.youtube.com/watch?...",,
https://www.youtube.com/watch?v=aivpDPCP7Q8,"Thierry Henry: I Was Depressed, Crying & Dealing With Trauma!",6852,114.2,2341315,"If you enjoy hearing about the beautiful game, I recommend you check out my conversation with Frank Lampard, which you can find here: https://www.youtube.com/watch?v=OEDzn83BxFo   0:00 Intro...",,
https://www.youtube.com/watch?v=-Hwlvkfp698,"The Fitness Scientist: ""Even A Little Alcohol Is Hurting Your Health!"" Kristen Holmes",6591,109.85,2025314,"If you enjoy hearing about the transformative power of sleep, I recommend you check out my conversation with Dr Matthew Walker, which you can find here: https://www.youtube.com/watch?v=Us8n8VBQn_c...",,
https://www.youtube.com/watch?v=qqabbfk9wV8,The No.1 Poo & Gut Scientist: If Your Poo Looks Like This Go To A Doctor! Dr Will Bulsiewicz,7455,124.25,4841088,"If you enjoy hearing all about gut health with Dr Will Bulsiewicz, I recommend you check out my conversation with Dr Tim Spector, which you can find here: https://www.youtube.com/watch?v=66hWntvp0_...",,
https://www.youtube.com/watch?v=oI7BxBNp1uE,"The Love Expert: The REAL Reason We’re Lonely, Loveless, Depressed - Alain De Botton, School Of Life",5371,89.52,1734946,"If you enjoy hearing about the philosophy of life, I recommend you check out my conversation with Ryan Holiday, which you can find here: https://www.youtube.com/watch?v=PafvhTSC4yE  0:00 Intro...",,
https://www.youtube.com/watch?v=WJcIfLUR6gg,The Top 7 Belly Fat Burning Hacks For 2024 That Are PROVEN To Work!,4711,78.52,3728471,"If you enjoyed this episode, check out my episode last year on habits! How break bad ones and maintain good ones: https://bit.ly/3vkCNAN  0:00 Intro 01:08 Gaining more weight when we age &...",,
